Anexo III,,,,,,,,,,,,,,,,
Tabela I,,,,,,,,,,,,,,,2285,
Tabela Nacional Grupos de Diagnóstico Homogéneo,,,,,,,,,,,,,,,,
All Patient Refined DRG,,,,,,,,,,,,,,,,
Preço base nacional,,2285,,,,,,,,,,,,,,
A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,
45,Acidente vascular cerebral e/ou oclusão pré-cerebral com enfarte,3,M,1.6514,3773.449,-,-,943.36225,-,3,46,68,17.19,3773.449,-,
45,Acidente vascular cerebral e/ou oclusão pré-cerebral com enfarte,4,M,4.3087,9845.3795,-,-,1640.89658333333,-,5,54,79,25.18,9845.3795,-,
46,Acidente vascular cerebral não específico e/ou oclusão pré-cerebral sem enfarte,1,M,0.4627,1057.2695,-,-,528.63475,-,1,17,25,5.77,-,-,
46,Acidente vascular cerebral não específico e/ou oclusão pré-cerebral sem enfarte,2,M,0.6819,1558.1415,-,-,779.07075,-,1,25,37,9.03,-,-,
46,Acidente vascular cerebral não específico e/ou oclusão pré-cerebral sem enfarte,3,M,1.2397,2832.7145,-,-,708.178625,-,3,42,62,14.47,-,-,
46,Acidente vascular cerebral não específico e/ou oclusão pré-cerebral sem enfarte,4,M,3.1205,7130.3425,-,-,1188.39041666667,-,5,64,94,34.75,-,-,
47,Isquémia transitória,1,M,0.3596,821.686,-,-,410.843,-,1,14,21,4.96,-,-,
47,Isquémia transitória,2,M,0.4508,1030.078,-,-,515.039,-,1,15,22,6.27,-,-,
47,Isquémia transitória,3,M,0.7357,1681.0745,-,-,560.358166666667,-,2,31,46,10.66,-,-,
47,Isquémia transitória,4,M,1.9347,4420.7895,-,-,884.1579,-,4,50,73,21.17,-,-,
48,"Perturbações dos nervos cranianos, periféricos e autónomos",1,M,0.4569,1044.0165,-,-,522.00825,-,1,20,30,5.64,-,-,
48,"Perturbações dos nervos cranianos, periféricos e autónomos",2,M,0.7133,1629.8905,-,-,543.296833333333,-,2,29,43,10.04,-,-,
48,"Perturbações dos nervos cranianos, periféricos e autónomos",3,M,1.0739,2453.8615,-,-,817.953833333333,-,2,40,59,13.01,-,-,
48,"Perturbações dos nervos cranianos, periféricos e autónomos",4,M,3.4387,7857.4295,-,-,1122.48992857143,-,6,67,98,37.5,-,-,
49,Infeções bacterianas e tuberculosas do sistema nervoso,1,M,0.9155,2091.9175,-,-,522.979375,-,3,34,50,13.43,-,-,
49,Infeções bacterianas e tuberculosas do sistema nervoso,2,M,2.1976,5021.516,-,-,1004.3032,-,4,48,70,19.24,-,-,
49,Infeções bacterianas e tuberculosas do sistema nervoso,3,M,3.6536,8348.476,-,-,1192.63942857143,-,6,56,81,26.75,-,-,
49,Infeções bacterianas e tuberculosas do sistema nervoso,4,M,7.4911,17117.1635,-,-,2445.30907142857,-,6,62,90,33.52,-,-,
50,"Infeções não bacterianas do sistema nervoso, exceto meningite viral",1,M,0.643,1469.255,-,-,734.6275,-,1,27,40,8.45,-,-,
50,"Infeções não bacterianas do sistema nervoso, exceto meningite viral",2,M,1.2243,2797.5255,-,-,699.381375,-,3,37,54,13.88,-,-,
50,"Infeções não bacterianas do sistema nervoso, exceto meningite viral",3,M,2.5826,5901.241,-,-,983.540166666667,-,5,50,73,21.12,-,-,
50,"Infeções não bacterianas do sistema nervoso, exceto meningite viral",4,M,8.7569,20009.5165,-,-,2000.95165,-,9,67,96,38.22,-,-,
51,Meningite viral,1,M,0.2809,641.8565,-,-,320.92825,-,1,11,16,3.98,-,-,
51,Meningite viral,2,M,0.6839,1562.7115,-,-,520.903833333333,-,2,34,50,10.22,-,-,
51,Meningite viral,3,M,1.7621,4026.3985,-,-,805.2797,-,4,49,72,19.83,-,-,
51,Meningite viral,4,M,5.0326,11499.491,-,-,1916.58183333333,-,5,68,100,39.6,-,-,
52,"Estupor e/ou coma, não traumáticos",1,M,0.3958,904.403,-,-,452.2015,-,1,11,16,4.44,-,-,
52,"Estupor e/ou coma, não traumáticos",2,M,0.6513,1488.2205,-,-,744.11025,-,1,23,34,7.87,-,-,
52,"Estupor e/ou coma, não traumáticos",3,M,0.8858,2024.053,-,-,1012.0265,-,1,38,57,11.63,-,-,
52,"Estupor e/ou coma, não traumáticos",4,M,2.7008,6171.328,-,-,2057.10933333333,-,2,40,59,12.02,-,-,
53,Convulsões,1,M,0.3852,880.182,-,-,440.091,-,1,13,19,4.14,-,-,
53,Convulsões,2,M,0.5701,1302.6785,-,-,651.33925,-,1,20,30,7.12,-,-,
53,Convulsões,3,M,0.97,2216.45,-,-,1108.225,-,1,23,34,8.59,-,-,
53,Convulsões,4,M,3.2126,7340.791,-,-,1223.46516666667,-,5,58,85,28.88,-,-,
54,Enxaqueca e/ou outras cefaleias,1,M,0.322,735.77,-,-,367.885,-,1,11,16,4.21,-,-,
54,Enxaqueca e/ou outras cefaleias,2,M,0.449,1025.965,-,-,512.9825,-,1,17,25,5.32,-,-,
54,Enxaqueca e/ou outras cefaleias,3,M,0.5262,1202.367,-,-,601.1835,-,1,17,25,4.72,-,-,
54,Enxaqueca e/ou outras cefaleias,4,M,0.9004,2057.414,-,-,1028.707,-,1,29,43,5.32,-,-,
55,Traumatismo craniano com coma > 1 hora ou hemorragia,1,M,0.7592,1734.772,-,-,867.386,-,1,20,30,6.42,-,-,
55,Traumatismo craniano com coma > 1 hora ou hemorragia,2,M,1.1046,2524.011,-,-,1262.0055,-,1,29,43,9.09,-,-,
55,Traumatismo craniano com coma > 1 hora ou hemorragia,3,M,2.0834,4760.569,-,-,1586.85633333333,-,2,43,64,13.97,-,-,
55,Traumatismo craniano com coma > 1 hora ou hemorragia,4,M,5.1359,11735.5315,-,-,2933.882875,-,3,47,69,17.61,-,-,
56,"Contusão cerebral/laceração e/ou fratura do crânio complicada, coma < 1 hora ou sem coma",1,M,0.717,1638.345,-,-,819.1725,-,1,14,21,5.34,-,-,
56,"Contusão cerebral/laceração e/ou fratura do crânio complicada, coma < 1 hora ou sem coma",2,M,1.1815,2699.7275,-,-,1349.86375,-,1,30,45,10.46,-,-,
56,"Contusão cerebral/laceração e/ou fratura do crânio complicada, coma < 1 hora ou sem coma",3,M,2.145,4901.325,-,-,1225.33125,-,3,47,69,17.62,-,-,
56,"Contusão cerebral/laceração e/ou fratura do crânio complicada, coma < 1 hora ou sem coma",4,M,5.8527,13373.4195,-,-,1910.4885,-,6,53,77,23.52,-,-,
57,"Concussão, fratura fechada do crânio não especificada, lesão traumática não complicada, coma < 1 hora ou sem coma",1,M,0.5308,1212.878,-,-,606.439,-,1,7,10,3.05,-,-,
57,"Concussão, fratura fechada do crânio não especificada, lesão traumática não complicada, coma < 1 hora ou sem coma",2,M,0.8043,1837.8255,-,-,918.91275,-,1,16,24,5.63,-,-,
57,"Concussão, fratura fechada do crânio não especificada, lesão traumática não complicada, coma < 1 hora ou sem coma",3,M,1.6688,3813.208,-,-,1271.06933333333,-,2,39,58,11.84,-,-,
57,"Concussão, fratura fechada do crânio não especificada, lesão traumática não complicada, coma < 1 hora ou sem coma",4,M,5.4589,12473.5865,-,-,2078.93108333333,-,5,63,92,21.25,-,-,
58,Outras perturbações do sistema nervoso,1,M,0.4372,999.002,0.126363238512035,288.74,355.131,-,1,16,24,4.7,-,-,
58,Outras perturbações do sistema nervoso,2,M,0.696,1590.36,0.126363238512035,288.74,650.81,-,1,26,39,8.04,-,-,
58,Outras perturbações do sistema nervoso,3,M,1.1646,2661.111,-,-,887.037,-,2,40,59,12.51,-,-,
58,Outras perturbações do sistema nervoso,4,M,3.293,7524.505,-,-,1881.12625,-,3,49,72,19.57,-,-,
,,,,,,,,,,,,,,,,
GCD 2,Doenças e Perturbações do Olho,,,,,,,,,,,,,,,
70,Procedimentos na órbita,1,C,0.719,1642.915,0.719,1642.915,-,-,1,11,16,4.14,1444.28680964836,1150.0405,
70,Procedimentos na órbita,2,C,1.2631,2886.1835,1.2631,2886.1835,-,-,1,30,45,9.32,2886.1835,2886.1835,
70,Procedimentos na órbita,3,C,2.4544,5608.304,2.4544,5608.304,-,-,1,38,57,14.57,5608.304,5608.304,
70,Procedimentos na órbita,4,C,3.9386,8999.701,-,-,8996.8179448,6587.781132,1,38,57,14.57,8999.701,-,
73,Procedimentos no olho exceto órbita,1,C,0.5749,1313.6465,0.5749,1313.6465,-,-,1,4,6,2.42,999.451613593474,919.55255,
73,Procedimentos no olho exceto órbita,2,C,0.7754,1771.789,0.7754,1771.789,-,-,1,10,15,3.68,1344.62364598522,1240.2523,
73,Procedimentos no olho exceto órbita,3,C,1.4932,3411.962,1.4932,3411.962,-,-,1,17,25,6.13,3411.962,3411.962,
73,Procedimentos no olho exceto órbita,4,C,4.9155,11231.9175,-,-,5614.159677,8221.76361,2,50,74,20.5,11231.9175,-,
80,Infeções agudas major do olho                ,1,M,0.448,1023.68,-,-,511.84,-,1,21,31,6.83,-,-,
80,Infeções agudas major do olho                ,2,M,0.6698,1530.493,-,-,510.164333333333,-,2,26,38,9.74,-,-,
80,Infeções agudas major do olho                ,3,M,1.0533,2406.7905,-,-,601.697625,-,3,32,47,11.44,-,-,
80,Infeções agudas major do olho                ,4,M,2.597,5934.145,-,-,423.8675,-,13,69,97,54,-,-,
82,Perturbações no olho exceto infeções major,1,M,0.4237,968.1545,-,-,484.07725,-,1,16,24,4.57,-,-,
82,Perturbações no olho exceto infeções major,2,M,0.5844,1335.354,-,-,667.677,-,1,20,30,6.73,-,-,
82,Perturbações no olho exceto infeções major,3,M,1.03,2353.55,-,-,784.516666666667,-,2,32,47,12.53,-,-,
82,Perturbações no olho exceto infeções major,4,M,3.0956,7073.446,-,-,1178.90766666667,-,5,52,76,22.55,-,-,
,,,,,,,,,,,,,,,-,
GCD 3,"Doenças e Perturbações do Ouvido, Nariz, Boca e Garganta",,,,,,,,,,,,,,-,
89,Procedimentos major nos ossos do crânio/face,1,C,1.2275,2804.8375,1.2275,2804.8375,-,-,1,12,18,4.76,2804.8375,2804.8375,
89,Procedimentos major nos ossos do crânio/face,2,C,2.2078,5044.823,2.2078,5044.823,-,-,1,45,67,15.3,5044.823,5044.823,
89,Procedimentos major nos ossos do crânio/face,3,C,4.6714,10674.149,-,-,2667.6823838,7813.477068,4,50,73,20.41,7471.9043,-,
89,Procedimentos major nos ossos do crânio/face,4,C,12.9472,29584.352,-,-,2688.62496814545,21655.745664,11,90,130,60.25,29584.352,-,
90,Procedimentos major na laringe e/ou traqueia,1,C,0.8997,2055.8145,0.8997,2055.8145,-,-,1,35,52,6.42,2055.8145,2055.8145,
90,Procedimentos major na laringe e/ou traqueia,2,C,3.3815,7726.7275,-,-,2574.75074733333,5655.96453,3,41,60,18.01,5408.70925,-,
90,Procedimentos major na laringe e/ou traqueia,3,C,6.4801,14807.0285,-,-,2467.04751113333,10838.744862,6,61,89,30.78,14807.0285,-,
90,Procedimentos major na laringe e/ou traqueia,4,C,16.3619,37386.9415,-,-,3114.58038243333,27367.241178,12,86,123,56.33,37386.9415,-,
91,Procedimentos major na cabeça e/ou pescoço,1,C,1.5882,3629.037,1.5882,3629.037,-,-,1,23,34,10.12,3839.79543736228,3629.037,
91,Procedimentos major na cabeça e/ou pescoço,2,C,2.5011,5715.0135,-,-,2856.5913474,4183.389882,2,30,44,12.19,5898.75176199931,-,
91,Procedimentos major na cabeça e/ou pescoço,3,C,6.4077,14641.5945,-,-,1829.61300795,10717.647174,8,64,92,36,14641.5945,-,
91,Procedimentos major na cabeça e/ou pescoço,4,C,10.895,24895.075,-,-,2262.46362363636,18223.1949,11,69,98,39.25,24895.075,-,
92,Procedimentos nos ossos da face exceto procedimentos major nos ossos do crânio/face,1,C,0.8498,1941.793,0.8498,1941.793,-,-,1,11,16,3.96,2008.01634591596,1392.3011718451,
92,Procedimentos nos ossos da face exceto procedimentos major nos ossos do crânio/face,2,C,1.304,2979.64,1.304,2979.64,-,-,1,12,18,5.64,2979.64,2979.64,
92,Procedimentos nos ossos da face exceto procedimentos major nos ossos do crânio/face,3,C,2.5874,5912.209,2.5874,5912.209,-,-,1,29,43,11.64,5912.209,5912.209,
92,Procedimentos nos ossos da face exceto procedimentos major nos ossos do crânio/face,4,C,7.3003,16681.1855,-,-,3335.16833608,12210.627786,5,49,71,19,16681.1855,-,
93,Procedimentos nos seios faciais e/ou mastóide,1,C,0.765,1748.025,0.765,1748.025,-,-,1,5,7,2.52,1251.63929641451,1223.6175,
93,Procedimentos nos seios faciais e/ou mastóide,2,C,1.253,2863.105,1.253,2863.105,-,-,1,17,25,7.32,2863.105,2863.105,
93,Procedimentos nos seios faciais e/ou mastóide,3,C,2.2882,5228.537,2.2882,5228.537,-,-,1,42,63,12.06,5228.537,5228.537,
93,Procedimentos nos seios faciais e/ou mastóide,4,C,5.3973,12332.8305,-,-,1120.80724330909,9027.631926,11,71,101,41.3,12332.8305,-,
95,Reparação de fenda labial e/ou do palato,1,C,0.5693,1300.8505,0.5693,1300.8505,-,-,1,7,10,2.28,1400.01315506173,1029.60320125501,
95,Reparação de fenda labial e/ou do palato,2,C,0.8438,1928.083,0.8438,1928.083,-,-,1,8,12,3.57,1928.083,1928.083,
95,Reparação de fenda labial e/ou do palato,3,C,1.0965,2505.5025,-,-,2504.699862,1834.02783,1,8,12,5.52,2505.5025,-,
95,Reparação de fenda labial e/ou do palato,4,C,2.1024,4803.984,-,-,1600.8150144,3516.516288,3,40,59,10,4803.984,-,
97,Procedimentos nas amigdalas e adenoides,1,C,0.3262,745.367,0.3262,745.367,-,-,1,4,6,1.75,638.576138842437,577.391732895215,
97,Procedimentos nas amigdalas e adenoides,2,C,0.6034,1378.769,0.6034,1378.769,-,-,1,10,15,3.91,1378.769,1378.769,
97,Procedimentos nas amigdalas e adenoides,3,C,2.0478,4679.223,2.0478,4679.223,-,-,1,42,63,12.5,4679.223,4679.223,
97,Procedimentos nas amigdalas e adenoides,4,C,8.9418,20432.013,-,-,2917.9239432,14956.233516,7,60,87,30.11,20432.013,-,
98,"Outros procedimentos no ouvido, nariz, boca e/ou garganta",1,C,0.588,1343.58,0.588,1343.58,-,-,1,7,10,2.34,1238.37352027187,1014.34942987341,
98,"Outros procedimentos no ouvido, nariz, boca e/ou garganta",2,C,0.9368,2140.588,0.9368,2140.588,-,-,1,11,16,4.63,2069.72759016508,1498.4116,
98,"Outros procedimentos no ouvido, nariz, boca e/ou garganta",3,C,2.4472,5591.852,2.4472,5591.852,-,-,1,45,67,16.01,5591.852,5591.852,
98,"Outros procedimentos no ouvido, nariz, boca e/ou garganta",4,C,6.7001,15309.7285,-,-,1530.48240268,11206.721262,10,63,90,33.54,15309.7285,-,
110,"Doenças malignas do ouvido, nariz, boca, garganta, cabeça/face",1,M,0.4205,960.8425,-,-,480.42125,-,1,13,19,4.12,-,-,
110,"Doenças malignas do ouvido, nariz, boca, garganta, cabeça/face",2,M,0.8591,1963.0435,-,-,981.52175,-,1,29,43,9.37,-,-,
110,"Doenças malignas do ouvido, nariz, boca, garganta, cabeça/face",3,M,2.0581,4702.7585,-,-,1175.689625,-,3,46,68,16.09,-,-,
110,"Doenças malignas do ouvido, nariz, boca, garganta, cabeça/face",4,M,5.3556,12237.546,-,-,1529.69325,-,7,62,90,32.65,-,-,
111,Vertigem e outras perturbações do labirinto,1,M,0.3246,741.711,-,-,370.8555,-,1,14,21,4.62,-,-,
111,Vertigem e outras perturbações do labirinto,2,M,0.3958,904.403,-,-,452.2015,-,1,20,30,5.73,-,-,
111,Vertigem e outras perturbações do labirinto,3,M,0.5588,1276.858,-,-,425.619333333333,-,2,26,38,8,-,-,
111,Vertigem e outras perturbações do labirinto,4,M,1.7312,3955.792,-,-,791.1584,-,4,47,69,18,-,-,
113,Infeções das vias respiratórias superiores,1,M,0.2533,578.7905,-,-,289.39525,-,1,11,16,3.71,-,-,
113,Infeções das vias respiratórias superiores,2,M,0.3796,867.386,-,-,433.693,-,1,17,25,5.38,-,-,
113,Infeções das vias respiratórias superiores,3,M,0.7952,1817.032,-,-,605.677333333333,-,2,25,37,9.79,-,-,
113,Infeções das vias respiratórias superiores,4,M,2.0264,4630.324,-,-,1543.44133333333,-,2,40,59,13.98,-,-,
114,Perturbações dentárias e/ou orais e/ou lesões traumáticas,1,M,0.3745,855.7325,0.0592166301969365,135.31,360.21125,-,1,10,15,3.34,855.7325,135.31,
114,Perturbações dentárias e/ou orais e/ou lesões traumáticas,2,M,0.5835,1333.2975,0.0592166301969365,135.31,598.99375,-,1,17,25,5.33,1333.2975,135.31,
114,Perturbações dentárias e/ou orais e/ou lesões traumáticas,3,M,1.2637,2887.5545,0.0592166301969365,135.31,1376.12225,-,1,31,46,10.03,2887.5545,135.31,
114,Perturbações dentárias e/ou orais e/ou lesões traumáticas,4,M,4.2179,9637.9015,-,-,1606.31691666667,-,5,48,70,18.67,9637.9015,-,
115,"Outros diagnósticos do ouvido, nariz, boca, garganta, cabeça/face",1,M,0.411,939.135,0.126363238512035,288.74,325.1975,-,1,10,15,3.58,939.135,288.74,
